"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.02.2023","18.9550","18.8480","18.9915","18.5084","","0.57%"
"01.01.2023","18.8480","19.4866","19.5359","18.5665","","-3.21%"
"01.12.2022","19.4740","19.2680","19.9191","19.1075","","1.16%"
"01.11.2022","19.2510","19.8110","19.8445","19.0403","","-2.74%"
"01.10.2022","19.7940","20.1475","20.1775","19.7805","","-1.72%"
"01.09.2022","20.1400","20.1400","20.5810","19.7518","","0.03%"
"01.08.2022","20.1348","20.3830","20.8335","19.8110","","-1.06%"
"01.07.2022","20.3500","20.1035","21.0566","20.0875","","1.30%"
"01.06.2022","20.0890","19.6574","20.7045","19.4700","","2.22%"
"01.05.2022","19.6525","20.4030","20.5131","19.4125","","-3.72%"
"01.04.2022","20.4110","19.8695","20.6450","19.7255","","2.85%"
"01.03.2022","19.8450","20.4700","21.4687","19.8140","","-3.01%"
"01.02.2022","20.4610","20.6340","20.7915","20.1565","","-0.80%"
"01.01.2022","20.6250","20.4944","20.9134","20.2753","","0.67%"
"01.12.2021","20.4870","21.4475","21.5226","20.3269","","-4.43%"
"01.11.2021","21.4368","20.5745","22.1550","20.2463","","4.34%"
"01.10.2021","20.5450","20.6415","20.9037","20.1138","","-0.41%"
"01.09.2021","20.6300","20.0730","20.6854","19.8412","","2.83%"
"01.08.2021","20.0630","19.8990","20.4678","19.8015","","1.05%"
"01.07.2021","19.8550","19.9450","20.2525","19.7444","","-0.38%"
"01.06.2021","19.9310","19.9535","20.7507","19.5967","","-0.08%"
"01.05.2021","19.9461","20.2415","20.3365","19.7183","","-1.38%"
"01.04.2021","20.2260","20.4390","20.4980","19.7800","","-0.96%"
"01.03.2021","20.4220","20.8620","21.6381","20.2803","","-2.04%"
